Label_no,Group,Emotions
LABEL_8,positive,desire
LABEL_0,positive,pride
LABEL_17,positive,joy
LABEL_5,positive,caring
LABEL_15,positive,gratitude
LABEL_18,positive,love
LABEL_7,ambiguous,curiosity
LABEL_13,positive,excitement
LABEL_21,positive,optimism
LABEL_20,ambiguous,neutral
LABEL_14,negative,fear
LABEL_26,negative,remorse
LABEL_3,negative,annoyance
LABEL_11,negative,disgust
LABEL_12,negative,embarrassment
LABEL_9,negative,disappointment
LABEL_2,negative,anger
LABEL_6,ambiguous,confusion
LABEL_23,ambiguous,realization
LABEL_27,ambiguous,surprise
